"id","culture","culture_code","region","location","description","probability_sample","position","comment","created","modified","created_by_id"
182,"British","ES03","Western Europe","Britain","",0,"55.378051,-3.435973","","2013-07-08 13:33:20.625278","2013-07-08 13:33:20.626894",4
183,"Imperial Romans","EI09","Southern Europe","Italy","",0,"41.901514,12.460774","","2013-07-08 13:33:20.801018","2013-07-08 13:33:20.802629",4
184,"Albanians","EG01","Southern Europe","Albania","",0,"41.153332,20.168331","","2013-07-08 13:33:21.101607","2013-07-08 13:33:21.103197",4
185,"Haitians","SV03","Middle American, Carribbean","Haiti","",0,"18.971187,-72.285215","","2013-07-08 13:33:21.250883","2013-07-08 13:33:21.252573",4
186,"Puerto Ricans","SU01","Middle American, Carribbean","Peurto Rico","",0,"18.220833,-66.590149","","2013-07-08 13:33:21.312162","2013-07-08 13:33:21.313893",4
187,"Garifuna","SA12","Middle American, Carribbean","Nicaragua, Honduras and Belize","",0,"12.46876014482322,-87.01171875","Also known as Black Caribs","2013-07-08 13:33:21.416288","2013-07-25 23:59:03.705192",4
188,"Miskito","SA15","Middle American, Carribbean","Honduras, Nicaragua","The Miskito inhabit the eastern regions of the Central American republics of Nicaragua and Honduras, a territory bordering the Caribbean coast and known historically as the Miskito (or Mosquito) Coast.",0,"13.8663487,-84.02178200000003","","2013-07-08 13:33:21.447837","2013-07-26 00:35:08.979162",4
189,"Nahua","NU46","Middle American, Carribbean","Mexico","",0,"18.985278,-99.099722","","2013-07-08 13:33:21.506428","2013-07-08 13:33:21.508220",4
190,"Zaputec","NU44","Middle American, Carribbean","Mexico","",0,"17.059417,-96.721622","","2013-07-08 13:33:21.524564","2013-07-08 13:33:21.526349",4
191,"Rwala Bedouin","MD04","Middle East","Saudi Arabia","",0,"30.826781,38.583984","Should include with Bedouin","2013-07-08 13:33:21.677849","2013-07-08 13:33:21.679742",4
192,"Turks","MB01","Middle East","Turkey","",0,"39.198205,36.123047","Eurasia/Middle East","2013-07-08 13:33:21.718776","2013-07-08 13:33:21.720577",4
193,"Tiwi","OI20","Oceania-Australia","Australia","",0,"-11.3,131.15","","2013-07-08 13:33:21.795428","2013-07-08 13:33:21.797073",4
194,"Kwoma","OJ13","Oceania-Melanesia","Papua New Guinea","",0,"-5.0,142.0","","2013-07-08 13:33:21.840233","2013-07-08 13:33:21.841912",4
195,"Lesu","OM24","Oceania-Melanesia","Papua New Guinea","",0,"-2.3,151.0","","2013-07-08 13:33:21.858507","2013-07-08 13:33:21.860137",4
196,"Belau","OR15","Oceania-Melanesia","Caroline Islands","",0,"7.0,134.0","","2013-07-08 13:33:21.883592","2013-07-08 13:33:21.885220",4
197,"Marshallese","OR11","Oceania-Micronesia","Marshall Islands","",0,"10.0,155.0","","2013-07-08 13:33:21.964838","2013-07-08 13:33:21.966412",4
198,"Ulithi","OR20","Oceania-Micronesia","Caroline Islands","",0,"10.0,140.0","","2013-07-08 13:33:22.007012","2013-07-08 13:33:22.008619",4
199,"Woleai Region","OR21","Oceania-Micronesia","Caroline Islands","",0,"7.21,143.52","","2013-07-08 13:33:22.107508","2013-07-08 13:33:22.109103",4
200,"Maori","OZ04","Oceania-New Zealnd","New Zealand","",0,"-40.900557,174.88597100000004","","2013-07-08 13:33:22.185921","2013-07-26 00:38:57.512231",4
201,"Marquesas","OX06","Oceania-Polynesia","Marquesan Islands","",0,"-10.0,-140.0","","2013-07-08 13:33:22.288009","2013-07-08 13:33:22.289862",4
202,"Samoans","OU08","Oceania-Polynesia","Samoa","",0,"-14.0,-173.0","","2013-07-08 13:33:22.349935","2013-07-08 13:33:22.351640",4
203,"Siriono","SF21","South America","Bolivia","",0,"-16.290154,-63.58865300000002","","2013-07-08 13:33:22.536285","2013-07-26 12:26:29.777222",4
204,"Mapuche","SG04","South America--Andes","Chile","",0,"-41.0,-75.0","","2013-07-08 13:33:22.633919","2013-07-08 13:33:22.635610",4
205,"Otavalo","SD16","South America--Andes","Ecuador","",0,"0.367159,-78.384223","","2013-07-08 13:33:22.851258","2013-07-08 13:33:22.853073",4
206,"Canela","SO08","South America","Brazil","",0,"-5.080419,-45.600711","","2013-07-08 13:33:22.876535","2013-07-08 13:33:22.878347",4
207,"Goajiro","SC13","South America","Colombia, Venezuela","",0,"12.0,-72.0","Arawakan language","2013-07-08 13:33:22.957520","2013-07-08 13:33:22.959355",4
208,"Apayao","OA5","Southeast Asia","Philippines","",NA,"18.0120304,121.17103889999999","","2013-07-08 13:33:23.657817","2013-07-25 18:22:34.251455",4
209,"Aztec","NU7","Middle American, Carribbean","Mexico, Guatemala","",0,"None,None","","2013-07-08 13:33:23.689766","2013-07-08 13:33:23.691343",4
210,"Buka","ON6","Oceania-Melanesia","Buka","",0,"-5.2384267,154.6451287","","2013-07-08 13:33:23.883107","2013-07-25 23:30:50.143103",4
211,"India","AW1","Southeast Asia","India","",0,"None,None","","2013-07-08 13:33:23.969537","2013-07-08 13:33:23.971032",4
212,"Czechs","EB1","Eastern Europe","Czechoslovakia","",0,"49.81749199999999,15.472962000000052","","2013-07-08 13:33:24.015438","2013-07-26 00:08:07.725405",4
213,"East Panjab","AW6","South Asia","Northern India","",0,"31.1471305,75.34121789999995","","2013-07-08 13:33:24.052476","2013-07-25 23:45:55.200050",4
214,"Fang","FH9","West Africa","southern Gabon, Cameroon","",0,"2.6430963210308684,12.969956375000038","Bantu speaking","2013-07-08 13:33:24.079833","2013-07-26 00:07:35.280006",4
215,"Fellahin","MR13","North Africa","Egypt","The Fellahin of Egypt are indigenous rural villagers mostly living in Upper, Middle and Lower Egypt along the banks of the Nile valley. They are believed to be among the oldest farmers on earth whose highly productive agriculture, characterized by total reliance on irrigation and intensive labor, contributed to the rise of the ancient Egyptian civilization.",0,"26.820553,30.802498","","2013-07-08 13:33:24.146396","2013-07-08 13:33:24.147987",4
216,"Flores","OF9","Southeast Asia","Island of Flores","",0,"-8.657381899999999,121.07937049999998","","2013-07-08 13:33:24.164394","2013-07-26 00:03:14.604009",4
217,"Khoikhoi","FX13","Southern Africa","South Africa ","",0,"-30.44867367928755,19.6875","","2013-07-08 13:33:24.268416","2013-07-26 00:29:45.126482",4
218,"Ila","FQ6","Southern Africa","Zambia","",0,"-13.133897,27.849332000000004","Ila are Bantu speaking and include Lozi and Tsonga are part of the dialect group.","2013-07-08 13:33:24.318089","2013-07-26 00:18:24.617851",4
219,"Borneo","OC1","Southeast Asia","Indonesia","",0,"1.0682368,114.23353610000004","","2013-07-08 13:33:24.666849","2013-07-25 18:24:29.138614",4
220,"Iraqis","MH1","Middle East","Iraq","",0,"33.223191,43.679291000000035","","2013-07-08 13:33:24.690085","2013-07-26 00:13:08.182534",4
221,"Southern Paiute","NT16","North America","southwestern United States","Also jicarilla apache",0,"37.16410709838182,-113.84031313125001","","2013-07-08 13:33:24.753110","2013-07-26 01:16:43.209668",4
222,"Nayars","AW11","Southeast Asia","Kerala, India","",0,"10.8505159,76.27108329999999","","2013-07-08 13:33:24.806030","2013-07-26 00:33:04.731932",4
223,"Kol","AW37","Southeast Asia","India","",0,"27.5705886,80.09818689999997","","2013-07-08 13:33:24.866508","2013-07-26 00:27:01.373073",4
224,"Laos","none","East Asia","Laos ","",NA,"19.85627,102.495496","","2013-07-08 13:33:24.907243","2013-07-26 00:25:18.578787",4
225,"Lovedu","FX14","Southern Africa","South Africa","",0,"-23.4012946,29.41793240000004","","2013-07-08 13:33:24.925308","2013-07-26 00:24:50.197391",4
226,"Makassar","OG6","Southeast Asia","Indonesia","",0,"-1.8479079,120.52790959999993","","2013-07-08 13:33:24.977512","2013-07-26 00:22:10.645159",4
227,"Mexicans","NUS4","North America","Mexico","",0,"23.634501,-102.55278399999997","","2013-07-08 13:33:25.107906","2013-07-26 00:37:02.893271",4
228,"Mormons","NT24","North America","United States","",0,"39.3209801,-111.09373110000001","","2013-07-08 13:33:25.169101","2013-07-26 00:33:26.417757",4
229,"North American Roma","N8","North America","United States; Canada","",0,"None,None","","2013-07-08 13:33:25.285723","2013-07-08 13:33:25.287391",4
230,"Ngoni","FR5","East Africa","Tanzania","",0,"-13.254308,34.30152499999997","Ngoni branch of Bantu language","2013-07-08 13:33:25.381562","2013-07-26 00:56:46.381717",4
231,"Maricopa","NT15","North America","Western United States","",0,"33.2917968,-112.42914639999998","","2013-07-08 13:33:25.483062","2013-07-26 00:38:04.199207",4
232,"Rural Ireland","ER6","Western Europe","Ireland","",0,"52.36564397383638,-9.100823593749965","","2013-07-08 13:33:25.529483","2013-07-26 00:47:48.065162",4
233,"Semang","AN07","Southeast Asia","Malaysia","",0,"5.712956,101.205497","","2013-07-08 13:33:25.580714","2013-07-08 13:33:25.582446",4
234,"Shona","FS5","Southern Africa","Zimbabwe","",0,"-20.853732146352154,31.945384343749993","","2013-07-08 13:33:25.607699","2013-07-26 00:43:17.599917",4
235,"Somali","MO04","East Africa","Somalia","The Muslim Somalis of the Horn of Africa speak the Somali language and live in the Somali Democratic Republic (Somalia). There are also substantial numbers of Somalis in neighboring countries: the southern half of Djibouti, the eastern part of Ethiopia, and the northeastern part of Kenya. There are large stable settlements of Somalis in the north of Tanzania and in the Yemeni city of Aden. Although Somalis regard themselves as ethnically one people, there are several subgroups based on patrilineal descent. The term ""Somali"" is popularly held to derive from the expression SO MAAL, or ""come and milk,"" an expression used among nomads, which alludes to the pastoral subsistence and the Somali ideal of hospitality",1,"5.15,46.2","","2013-07-08 13:33:25.727532","2013-07-08 13:33:25.729211",4
236,"Thai","AO1","Southeast Asia","Thailand","Siam",0,"15.870032,100.99254100000007","","2013-07-08 13:33:25.965848","2013-07-26 01:11:50.656623",4
237,"Tuareg","MS25","North Africa","Niger, Mali, Algeria, Libya","The Tuareg, a seminomadic, Islamic people who speak a Berber language, Tamacheq, live in the contemporary nation-states of Niger, Mali, Algeria, and Libya. They are believed to be descendants of the North African Berbers and to have originated in the Fezzan region of Libya but later to have expanded into areas bordering the Sahara, assimilating into their traditionally stratified society the sedentary farming peoples from regions south of the Sahara. During the late twentieth century, many Tuareg have migrated to rural and urban areas farther south—into Sahelian and coastal regions of West Africa—because of drought, famine, and political tensions with the central governments of Mali and Niger. Since the early 1990s, some Tuareg have joined an armed insurrection against those governments (Bourgeot 1990, 129-162). A few Tuareg have emigrated to France. The Saharan and Sahelian regions of Mali and Niger, where most Tuareg still live are the principal biomes to which the culture is adapted (Baier and Lovejoy 1977; Bernus 1981).",0,"20.632784250388028,5.625","also West Africa","2013-07-08 13:33:26.035021","2013-07-26 01:09:59.234607",4
238,"Turkana","FL17","East Africa","Kenya","“Turkana” is the name given to the pastoral and formerly pastoral people living in the arid and semiarid rangelands of northwestern Kenya. The Turkana refer to themselves as “Ngiturkan” and their land as “Eturkan.” The Turkana ethnic group as a whole is composed of two major divisions, and each division composed of territorial sections. The major divisions are the Ngimonia and the Ngichoro; Ngimonia are divided into Ngissir and non-Ngissir sections. The sections of the Ngichuro division are: Ngilukumong, Ngiwoyakwara, Ngigamatak, Ngibelai, and Ngibotok. The sections of the Ngimonia division are Ngikwatela, Ngiyapakuno, Ngissiger, Ngijie, Ngissir, Ngibocheros, Ngiseto, Ngisonyoka, Ngimazuk, Ngatunyo, Nganyagatauk, Ngikuniye, Ngikajik, and Ngimamong. Each section is identified with an area in Eturkan, but the extent to which the sectional territory is occupied exclusively by members of the section varies according to the rules governing natural-resource use of that particular section. The area occupied by the Turkana people corresponds closely with the current boundaries of Turkana District in Kenya. It lies between 1°30' and 5°00' N and encompasses approximately 67,000 square kilometers. Eturkan lies entirely within the Gregory Rift Valley and is bordered to the west by the Rift Valley wall, to the north by the mountains and plains occupied by the Taposa of southern Sudan, to the east by the western shoreline of Lake Turkana, and to the south by the plains inhabited by the pastoral Pokot.",0,"None,None","","2013-07-08 13:33:26.075735","2013-07-08 13:33:26.077381",4
239,"Washo","NT20","North America","Nevada","",0,"38.8026097,-116.41938900000002","","2013-07-08 13:33:26.247761","2013-07-26 01:08:27.822983",4
240,"Wogeo","OJ27","Oceania-Melanesia","Papua New Guinea","",0,"-3.2333333,144.03333329999998","","2013-07-08 13:33:26.330673","2013-07-26 01:05:30.821012",4
241,"Yugoslavians","EF1","Eastern Europe","Yugosalvia","",0,"44.91035883593261,19.270019156249873","","2013-07-08 13:33:26.400440","2013-07-26 01:03:18.780650",4
242,"Kashmiris","AV1","South Asia","Northern India","",0,"26.26201,71.60319000000004","","2013-07-08 13:33:26.569022","2013-07-26 00:31:27.722859",4
243,"Bambara","FA08","West Africa","Mali, Guinea, Burkina Faso, Senegal , Mauritania, Cote d'Ivoire"," They live in nucleated village communities and most Bambara earn their living cultivating a variety of crops and raising domesticated animals. Many augment their income by participating in a variety of non-agricultural activities including trade, wage labor, and small-scale craft production.",0,"17.57,-3.99","Language: Mande branch Niger-Congo","2013-07-08 13:33:26.587002","2013-07-08 13:33:26.588749",4
244,"Nenets","RU41","North Asia","Siberia","The Nenets are the most numerous of the five Samoyed groups living in the Russian north and western Siberia. Their traditional subsistence rested on a combination of reindeer herding, big game hunting and fishing in a vast region that included forest tundra and arctic islands. They lived as members of autonomous small bands that moved seasonally to exploit different resources. The Nenets have continued to hold onto their traditional way of life, despite their increasing incorporation into the Russian state and the deleterious effects of mineral and oil exploitation in the region on traditional reindeer herding practices.",0,"72.0,60.0","The Samoyed peoples may be divided into three groups according to their ecological environments: the Tundra Samoyeds, the Taiga or Forest Samoyeds, and the Mountain Samoyeds","2013-07-08 13:33:26.605498","2013-07-08 13:33:26.607232",4
245,"Lau Fijans","OQ06","Oceania-Melanesia","Lau Fiji Islands","",1,"-16.43,-178.15","","2013-07-08 13:33:26.624007","2013-07-08 13:33:26.625658",4
